France;113
Spain;46
The Netherlands;34
England;33
Ottoman Empire;32
Sweden;26
Poland;25
Portugal;20
Prussia;20
Great Britain;14
Russia;12
House of York;11
Holy Roman Empire;10
Canada;10
Japan;9
Scotland;8
Hungary;7
Oda Nobunaga;7
Hussite;6
House of Lancaster;6
Adal Sultanate;5
Austria;5
Takeda family forces;5
Takeda Shingen;5
Uesugi forces;5
United States;4
Tokugawa Ieyasu;4
Serbia;4
Roundhead;4
Catholicism;4
Ikkō-ikki;4
Moldavia;4
Clan Sutherland;3
Crimean Khanate;3
Duchy of Brittany;3
Royalists;3
Toyotomi Hideyoshi;3
Tokugawa shogunate;2
Wallachia;2
Electorate of Saxony;2
Takeda clan;2
Duchy of Burgundy;2
Catholic League (German);2
County of Flanders;2
Czech Republic;2
Clan Mackintosh;2
English Parliamentarians;2
Duchy of Gascony;2
Duchy of Milan;2
Colonial Brazil;2
Clan Mackay;2
Chattan Confederation;2
 House of Blois;2
British America;2
Batavian Republic;2
Jacobitism;2
Papal States;2
Mōri clan;2
Republic of Florence;2
Republic of Venice;2
Protestant Union;2
Patriot (American Revolution);2
Huguenot;2
Ethiopia;2
Hessian (soldier);2
Hōjō Ujiyasu;2
Holy League (1684);1
Hōjō Sōun;1
Ethiopian Empire;1
Greeks;1
Inca Empire;1
Johor;1
Joseon Navy;1
Kara Koyunlu;1
Kingdom of Cochin;1
Kingdom of Mysore;1
Kingdom of Ndongo;1
Kingdom of Sardinia;1
Kingdom of Sicily;1
Kingdom of Uí Failghe;1
Knights Hospitaller;1
Lithuania;1
Lorraine (duchy);1
Lorraine (region);1
Loyalist (American Revolution);1
Margraviate of Brandenburg;1
Matsudaira clan;1
Miamis Indian Tribe;1
Milan;1
Military history of the Acadians;1
Military history of the Mi'kmaq people;1
Modena;1
Mohegan people;1
Pequot people;1
Pir (Sufism);1
Pizarro brothers;1
Protestantism;1
Province of North Carolina;1
Potiguara people;1
Rohilla;1
Republic of Pisa;1
Pure Land Buddhism;1
Qajar dynasty;1
Rebels;1
Registered Cossacks;1
Mughal Empire;1
Murakami Yoshikiyo;1
Navajo people;1
Nawab of Awadh;1
New England Confederation;1
New South Wales Corps;1
Noble coalition;1
North Carolina;1
Oda clan;1
Oda Nobukatsu;1
Parliament of England;1
Ojibwe;1
Old Swiss Confederacy;1
James IV of Scotland;1
Moors;1
Bavaria;1
Bergenhus Fortress;1
Bishop of Norwich;1
Bosnia;1
Brittany;1
Catalan Company;1

Cossacks, Tatars and other minorities;1
Aceh Sultanate;1
Azai clan;1
Ahom kingdom;1
Akechi Mitsuhide;1
Anjou;1
Apache;1
Ashikaga rebels;1
Clan Campbell;1
Clan Forbes;1
Clan Grant;1
Clan MacGillivray;1
Clan Mackenzie;1
Charles V, Holy Roman Emperor;1
Colony of Virginia;1
Confederate States of America;1
Conquistador;1
Corsican Republic;1
Cossack Hetmanate;1
Counts and dukes of Maine;1
Duchy of Savoy;1
Durrani Empire;1
Dutch Rebels;1
Eastern Mongols;1
Electoral Palatinate;1
Electorate of Brunswick-Lüneburg;1
Erivan Khanate;1
English Parliamentarains;1
French Directory;1
Ganja Khanate;1
Grand Alliance;1
Grand Alliance (League of Augsburg);1
Clan Maclean;1
Clan MacNeil;1
Clan Munro;1
Clan Murray;1
Clan Stewart;1
Croatia;1
Crown of Aragon;1
Crusades;1
Denmark;1
Duchy of Courland and Semigallia;1
Duchy of Ferrara;1
Royal forces;1
Royalist forces;1
Scottish Rebels (with English support);1
Saxe-Weimar;1
Sigismund III Vasa;1
Sikh;1
Sture;1
Supported by;1
Teutonic Order;1
Taborites;1
Welsh rebel forces;1
Williamite;1
Williamite forces - Irish, Dutch, English, Scottish, Danish and French Huguenot troops [1];1
Wyandot people;1
Zaporizhian Sich;1
Virginia;1
Vlachs;1
Uesugi Kenshin;1
Timurid dynasty;1
Tlaxcala (Nahua state);1
Tudor dynasty;1
Udasi;1
Uesugi clan;1
