George Washington;Charles Cornwallis, 1st Marquess Cornwallis;6
Charles Cornwallis, 1st Marquess Cornwallis;George Washington;6
Nathanael Greene;George Washington;5
Alasdair Mac Colla;James Graham, 1st Marquess of Montrose;5
James Graham, 1st Marquess of Montrose;Alasdair Mac Colla;5
Pierre André de Suffren;Edward Hughes (Royal Navy officer);5
George Washington;Nathanael Greene;5
Edward Hughes (Royal Navy officer);Pierre André de Suffren;5
Tokugawa Ieyasu;Oda Nobunaga;4
Michiel de Ruyter;Prince Rupert of the Rhine;4
Charles I of England;Robert Devereux, 3rd Earl of Essex;4
Charles Cornwallis, 1st Marquess Cornwallis;Nathanael Greene;4
François Joseph Paul de Grasse;Samuel Hood, 1st Viscount Hood;4
Konishi Yukinaga;Sō Yoshitoshi;4
Oda Nobunaga;Tokugawa Ieyasu;4
Prince Rupert of the Rhine;Michiel de Ruyter;4
Henri de la Tour d'Auvergne, Vicomte de Turenne;Louis, Grand Condé;4
Kingdom of Great Britain;Kingdom of France;4
Ukita Hideie;Kobayakawa Takakage;4
Sō Yoshitoshi;Konishi Yukinaga;4
John Talbot, 1st Earl of Shrewsbury;Joan of Arc;4
Joan of Arc;John Talbot, 1st Earl of Shrewsbury;4
Dutch Republic;Kingdom of France;4
Kingdom of France;Kingdom of Great Britain;4
Kingdom of France;Dutch Republic;4
Ahmad ibn Ibrahim al-Ghazi;Cristóvão da Gama;4
Robert Devereux, 3rd Earl of Essex;Charles I of England;4
Benedict Arnold;Daniel Morgan;4
Nathanael Greene;Charles Cornwallis, 1st Marquess Cornwallis;4
Cristóvão da Gama;Ahmad ibn Ibrahim al-Ghazi;4
Daniel Morgan;Benedict Arnold;4
Charles XII of Sweden;Boris Sheremetev;4
Boris Sheremetev;Charles XII of Sweden;4
Guillaume Brune;Herman Willem Daendels;4
Francisco Pizarro;Hernando Pizarro;4
Gonzalo Pizarro;Hernando Pizarro;4
William Howe, 5th Viscount Howe;George Washington;4
Hernando Pizarro;Gonzalo Pizarro;4
Herman Willem Daendels;Guillaume Brune;4
Louis, Grand Condé;Henri de la Tour d'Auvergne, Vicomte de Turenne;4
Hernando Pizarro;Francisco Pizarro;4
Samuel Hood, 1st Viscount Hood;François Joseph Paul de Grasse;4
Kobayakawa Takakage;Ukita Hideie;4
Yi Sun-sin;Wakisaka Yasuharu;4
George Washington;William Howe, 5th Viscount Howe;4
Wakisaka Yasuharu;Yi Sun-sin;4
Won Gyun;Yi Sun-sin;3
Charles Cornwallis, 1st Marquess Cornwallis;William Howe, 5th Viscount Howe;3
Tōdō Takatora;Yi Sun-sin;3
Konishi Yukinaga;Yi_Il;3
Henry Clinton (American War of Independence);William Howe, 5th Viscount Howe;3
John Sullivan (general);William Howe, 5th Viscount Howe;3
Nathanael Greene;William Howe, 5th Viscount Howe;3
Wakisaka Yasuharu;Yi Eokgi;3
Won Gyun;Yi Eokgi;3
William Alexander, Lord Stirling;William Howe, 5th Viscount Howe;3
Tōdō Takatora;Won Gyun;3
Wakisaka Yasuharu;Won Gyun;3
Yi Eokgi;Won Gyun;3
Yi Sun-sin;Won Gyun;3
Nathanael Greene;Wilhelm von Knyphausen;3
Charles Cornwallis, 1st Marquess Cornwallis;William Alexander, Lord Stirling;3
George Washington;William Alexander, Lord Stirling;3
John Sullivan (general);William Alexander, Lord Stirling;3
William Howe, 5th Viscount Howe;William Alexander, Lord Stirling;3
Kuroda Nagamasa;Ukita Hideie;3
Katō Yoshiaki;Wakisaka Yasuharu;3
Tōdō Takatora;Wakisaka Yasuharu;3
Won Gyun;Wakisaka Yasuharu;3
Yi Eokgi;Wakisaka Yasuharu;3
Shibata Katsuie;Toyotomi Hideyoshi;3
Benedict Arnold;Friedrich Adolf Riedesel;3
Benjamin Lincoln;Friedrich Adolf Riedesel;3
Daniel Morgan;Friedrich Adolf Riedesel;3
Ebenezer Learned;Friedrich Adolf Riedesel;3
Enoch Poor;Friedrich Adolf Riedesel;3
Horatio Gates;Friedrich Adolf Riedesel;3
John Burgoyne;Friedrich Adolf Riedesel;3
Simon Fraser of Balnain;Friedrich Adolf Riedesel;3
Juan Pizarro (conquistador);Francisco Pizarro;3
Prince Rupert of the Rhine;Charles I of England;3
Gonzalo Pizarro;Francisco Pizarro;3
Henry III of France;Gaspard II de Coligny;3
Prince Frederick, Duke of York and Albany;Guillaume Brune;3
Juan Pizarro (conquistador);Gonzalo Pizarro;3
John Sullivan (general);George Washington;3
William Alexander, Lord Stirling;George Washington;3
Juan Pizarro (conquistador);Hernando Pizarro;3
Benedict Arnold;Horatio Gates;3
Benjamin Lincoln;Horatio Gates;3
Daniel Morgan;Horatio Gates;3
Ebenezer Learned;Horatio Gates;3
Enoch Poor;Horatio Gates;3
Friedrich Adolf Riedesel;Horatio Gates;3
John Burgoyne;Horatio Gates;3
Simon Fraser of Balnain;Horatio Gates;3
Charles Cornwallis, 1st Marquess Cornwallis;Henry Clinton (American War of Independence);3
William Howe, 5th Viscount Howe;Henry Clinton (American War of Independence);3
Gaspard II de Coligny;Henry III of France;3
Humphrey Stafford, 1st Duke of Buckingham;Henry VI of England;3
Richard Neville, 16th Earl of Warwick;Henry VI of England;3
Prince Frederick, Duke of York and Albany;Herman Willem Daendels;3
Sigismund, Holy Roman Emperor;Jan Žižka;3
Diego de Almagro;Gonzalo Pizarro;3
Francisco Pizarro;Gonzalo Pizarro;3
Michiel de Ruyter;Jean II d'Estrées;3
Joan of Arc;Jean II, Duke of Alençon;3
Henry VI of England;Humphrey Stafford, 1st Duke of Buckingham;3
Richard Neville, 16th Earl of Warwick;Humphrey Stafford, 1st Duke of Buckingham;3
Carl Gustav Rehnskiöld;Charles XII of Sweden;3
Ebenezer Learned;Benedict Arnold;3
Enoch Poor;Benedict Arnold;3
Friedrich Adolf Riedesel;Benedict Arnold;3
Henry Clinton (American War of Independence);Charles Cornwallis, 1st Marquess Cornwallis;3
Benjamin Lincoln;Benedict Arnold;3
John Sullivan (general);Charles Cornwallis, 1st Marquess Cornwallis;3
Charles XII of Sweden;Carl Gustav Rehnskiöld;3
Horatio Gates;Benedict Arnold;3
John Burgoyne;Benedict Arnold;3
Simon Fraser of Balnain;Benedict Arnold;3
Benedict Arnold;Benjamin Lincoln;3
Daniel Morgan;Benjamin Lincoln;3
Ebenezer Learned;Benjamin Lincoln;3
Enoch Poor;Benjamin Lincoln;3
Friedrich Adolf Riedesel;Benjamin Lincoln;3
Horatio Gates;Benjamin Lincoln;3
John Burgoyne;Benjamin Lincoln;3
Simon Fraser of Balnain;Benjamin Lincoln;3
William Alexander, Lord Stirling;Charles Cornwallis, 1st Marquess Cornwallis;3
William Howe, 5th Viscount Howe;Charles Cornwallis, 1st Marquess Cornwallis;3
Gonzalo Pizarro;Diego de Almagro;3
Hernando Pizarro;Diego de Almagro;3
Benedict Arnold;Ebenezer Learned;3
Benjamin Lincoln;Ebenezer Learned;3
Daniel Morgan;Ebenezer Learned;3
Enoch Poor;Ebenezer Learned;3
Friedrich Adolf Riedesel;Ebenezer Learned;3
Horatio Gates;Ebenezer Learned;3
John Burgoyne;Ebenezer Learned;3
Simon Fraser of Balnain;Ebenezer Learned;3
Benjamin Lincoln;Daniel Morgan;3
Ebenezer Learned;Daniel Morgan;3
Enoch Poor;Daniel Morgan;3
Friedrich Adolf Riedesel;Daniel Morgan;3
Horatio Gates;Daniel Morgan;3
John Burgoyne;Daniel Morgan;3
Simon Fraser of Balnain;Daniel Morgan;3
Spain;Francis Vere;3
Richard Neville, 16th Earl of Warwick;Edward IV of England;3
Benedict Arnold;Enoch Poor;3
Benjamin Lincoln;Enoch Poor;3
Daniel Morgan;Enoch Poor;3
Ebenezer Learned;Enoch Poor;3
Friedrich Adolf Riedesel;Enoch Poor;3
Horatio Gates;Enoch Poor;3
John Burgoyne;Enoch Poor;3
Simon Fraser of Balnain;Enoch Poor;3
Tōdō Takatora;Katō Yoshiaki;3
Wakisaka Yasuharu;Katō Yoshiaki;3
Diego de Almagro;Hernando Pizarro;3
Jean II, Duke of Alençon;Joan of Arc;3
William Alexander, Lord Stirling;John Sullivan (general);3
William Howe, 5th Viscount Howe;John Sullivan (general);3
Francisco Pizarro;Juan Pizarro (conquistador);3
Gonzalo Pizarro;Juan Pizarro (conquistador);3
Hernando Pizarro;Juan Pizarro (conquistador);3
Benedict Arnold;John Burgoyne;3
